filepaths,setting,No,name,filenames,10mm,30mm,50mm,offset,target_size
./dataset/DOE_4th/切割訊號/DOE4-1/20230414_132433_DOE4-1_no02.pickle,DOE4-1,2,DOE4-1_02,20230414_132433_DOE4-1_no02.csv,66.0,66.003,66.005,0.03,66
./dataset/DOE_4th/切割訊號/DOE4-1/20230414_132738_DOE4-1_no03.pickle,DOE4-1,3,DOE4-1_03,20230414_132738_DOE4-1_no03.csv,66.0,66.002,66.006,0.03,66
./dataset/DOE_4th/切割訊號/DOE4-1/20230414_133937_DOE4-1_no04.pickle,DOE4-1,4,DOE4-1_04,20230414_133937_DOE4-1_no04.csv,65.994,65.993,65.997,0.03,66
./dataset/DOE_4th/切割訊號/DOE4-1/20230414_134214_DOE4-1_no05.pickle,DOE4-1,5,DOE4-1_05,20230414_134214_DOE4-1_no05.csv,66.0,66.002,66.005,0.03,66
./dataset/DOE_4th/切割訊號/DOE4-1/20230414_135254_DOE4-1_no06.pickle,DOE4-1,6,DOE4-1_06,20230414_135254_DOE4-1_no06.csv,66.0,66.003,66.005,0.03,66
./dataset/DOE_4th/切割訊號/DOE4-1/20230414_135455_DOE4-1_no07.pickle,DOE4-1,7,DOE4-1_07,20230414_135455_DOE4-1_no07.csv,66.0,66.003,66.006,0.03,66
./dataset/DOE_4th/切割訊號/DOE4-1/20230414_135637_DOE4-1_no08.pickle,DOE4-1,8,DOE4-1_08,20230414_135637_DOE4-1_no08.csv,66.0,66.002,66.005,0.03,66
./dataset/DOE_4th/切割訊號/DOE4-1/20230414_135803_DOE4-1_no09.pickle,DOE4-1,9,DOE4-1_09,20230414_135803_DOE4-1_no09.csv,66.001,66.003,66.006,0.03,66
./dataset/DOE_4th/切割訊號/DOE4-1/20230414_135948_DOE4-1_no10.pickle,DOE4-1,10,DOE4-1_10,20230414_135948_DOE4-1_no10.csv,66.002,66.003,66.004,0.03,66
./dataset/DOE_4th/切割訊號/DOE4-1/20230414_140128_DOE4-1_no11.pickle,DOE4-1,11,DOE4-1_11,20230414_140128_DOE4-1_no11.csv,66.001,66.003,66.005,0.03,66
./dataset/DOE_4th/切割訊號/DOE4-1/20230414_140405_DOE4-1_no13.pickle,DOE4-1,13,DOE4-1_13,20230414_140405_DOE4-1_no13.csv,66.0,66.003,66.005,0.03,66
./dataset/DOE_4th/切割訊號/DOE4-1/20230414_140552_DOE4-1_no14.pickle,DOE4-1,14,DOE4-1_14,20230414_140552_DOE4-1_no14.csv,66.0,66.003,66.005,0.03,66
./dataset/DOE_4th/切割訊號/DOE4-1/20230414_140726_DOE4-1_no15.pickle,DOE4-1,15,DOE4-1_15,20230414_140726_DOE4-1_no15.csv,66.002,66.005,66.007,0.03,66
./dataset/DOE_4th/切割訊號/DOE4-1/20230414_140851_DOE4-1_no16.pickle,DOE4-1,16,DOE4-1_16,20230414_140851_DOE4-1_no16.csv,66.002,66.004,66.008,0.03,66
./dataset/DOE_4th/切割訊號/DOE4-1/20230414_141034_DOE4-1_no17.pickle,DOE4-1,17,DOE4-1_17,20230414_141034_DOE4-1_no17.csv,66.005,66.006,66.01,0.03,66
./dataset/DOE_4th/切割訊號/DOE4-1/20230414_141316_DOE4-1_no18.pickle,DOE4-1,18,DOE4-1_18,20230414_141316_DOE4-1_no18.csv,66.006,66.007,66.011,0.03,66
./dataset/DOE_4th/切割訊號/DOE4-1/20230414_141435_DOE4-1_no19.pickle,DOE4-1,19,DOE4-1_19,20230414_141435_DOE4-1_no19.csv,66.006,66.008,66.011,0.03,66
./dataset/DOE_4th/切割訊號/DOE4-1/20230414_141618_DOE4-1_no20.pickle,DOE4-1,20,DOE4-1_20,20230414_141618_DOE4-1_no20.csv,66.006,66.007,66.011,0.03,66
./dataset/DOE_4th/切割訊號/DOE4-1/20230414_141744_DOE4-1_no21.pickle,DOE4-1,21,DOE4-1_21,20230414_141744_DOE4-1_no21.csv,66.007,66.01,66.012,0.03,66
./dataset/DOE_4th/切割訊號/DOE4-1/20230414_141908_DOE4-1_no22.pickle,DOE4-1,22,DOE4-1_22,20230414_141908_DOE4-1_no22.csv,66.007,66.009,66.013,0.03,66
./dataset/DOE_4th/切割訊號/DOE4-1/20230414_142032_DOE4-1_no23.pickle,DOE4-1,23,DOE4-1_23,20230414_142032_DOE4-1_no23.csv,66.007,66.01,66.011,0.03,66
./dataset/DOE_4th/切割訊號/DOE4-1/20230414_142202_DOE4-1_no24.pickle,DOE4-1,24,DOE4-1_24,20230414_142202_DOE4-1_no24.csv,66.008,66.01,66.012,0.03,66
./dataset/DOE_4th/切割訊號/DOE4-1/20230414_142337_DOE4-1_no25.pickle,DOE4-1,25,DOE4-1_25,20230414_142337_DOE4-1_no25.csv,66.009,66.011,66.014,0.03,66
./dataset/DOE_4th/切割訊號/DOE4-1/20230414_142508_DOE4-1_no26.pickle,DOE4-1,26,DOE4-1_26,20230414_142508_DOE4-1_no26.csv,66.008,66.01,66.013,0.03,66
./dataset/DOE_4th/切割訊號/DOE4-1/20230414_142642_DOE4-1_no27.pickle,DOE4-1,27,DOE4-1_27,20230414_142642_DOE4-1_no27.csv,66.012,66.015,66.017,0.03,66
./dataset/DOE_4th/切割訊號/DOE4-1/20230414_142816_DOE4-1_no28.pickle,DOE4-1,28,DOE4-1_28,20230414_142816_DOE4-1_no28.csv,66.013,66.014,66.018,0.03,66
./dataset/DOE_4th/切割訊號/DOE4-1/20230414_143041_DOE4-1_no29.pickle,DOE4-1,29,DOE4-1_29,20230414_143041_DOE4-1_no29.csv,66.015,66.016,66.018,0.03,66
./dataset/DOE_4th/切割訊號/DOE4-1/20230414_143212_DOE4-1_no30.pickle,DOE4-1,30,DOE4-1_30,20230414_143212_DOE4-1_no30.csv,66.014,66.016,66.019,0.03,66
