filenames,10mm,30mm,50mm,offset,target_size
20230414_132433_DOE4-1_no02.csv,66,66.003,66.005,0.03,66
20230414_132738_DOE4-1_no03.csv,66,66.002,66.006,0.03,66
20230414_133937_DOE4-1_no04.csv,65.994,65.993,65.997,0.03,66
20230414_134214_DOE4-1_no05.csv,66,66.002,66.005,0.03,66
20230414_135254_DOE4-1_no06.csv,66,66.003,66.005,0.03,66
20230414_135455_DOE4-1_no07.csv,66,66.003,66.006,0.03,66
20230414_135637_DOE4-1_no08.csv,66,66.002,66.005,0.03,66
20230414_135803_DOE4-1_no09.csv,66.001,66.003,66.006,0.03,66
20230414_135948_DOE4-1_no10.csv,66.002,66.003,66.004,0.03,66
20230414_140128_DOE4-1_no11.csv,66.001,66.003,66.005,0.03,66
20230414_140405_DOE4-1_no13.csv,66,66.003,66.005,0.03,66
20230414_140552_DOE4-1_no14.csv,66,66.003,66.005,0.03,66
20230414_140726_DOE4-1_no15.csv,66.002,66.005,66.007,0.03,66
20230414_140851_DOE4-1_no16.csv,66.002,66.004,66.008,0.03,66
20230414_141034_DOE4-1_no17.csv,66.005,66.006,66.01,0.03,66
20230414_141316_DOE4-1_no18.csv,66.006,66.007,66.011,0.03,66
20230414_141435_DOE4-1_no19.csv,66.006,66.008,66.011,0.03,66
20230414_141618_DOE4-1_no20.csv,66.006,66.007,66.011,0.03,66
20230414_141744_DOE4-1_no21.csv,66.007,66.01,66.012,0.03,66
20230414_141908_DOE4-1_no22.csv,66.007,66.009,66.013,0.03,66
20230414_142032_DOE4-1_no23.csv,66.007,66.01,66.011,0.03,66
20230414_142202_DOE4-1_no24.csv,66.008,66.01,66.012,0.03,66
20230414_142337_DOE4-1_no25.csv,66.009,66.011,66.014,0.03,66
20230414_142508_DOE4-1_no26.csv,66.008,66.01,66.013,0.03,66
20230414_142642_DOE4-1_no27.csv,66.012,66.015,66.017,0.03,66
20230414_142816_DOE4-1_no28.csv,66.013,66.014,66.018,0.03,66
20230414_143041_DOE4-1_no29.csv,66.015,66.016,66.018,0.03,66
20230414_143212_DOE4-1_no30.csv,66.014,66.016,66.019,0.03,66
20230414_143341_DOE4-1_no31.csv,66.015,66.018,66.019,0.03,66
20230414_143512_DOE4-1_no32.csv,66.017,66.017,66.02,0.03,66
20230414_143642_DOE4-1_no33.csv,66.016,66.017,66.02,0.03,66
20230414_143905_DOE4-1_no34.csv,66.016,66.018,66.02,0.03,66
20230414_144229_DOE4-1_no35.csv,66.017,66.018,66.021,0.03,66
20230414_144355_DOE4-1_no36.csv,66.018,66.019,66.021,0.03,66
20230414_144534_DOE4-1_no37.csv,66.016,66.019,66.021,0.03,66
20230414_144750_DOE4-1_no38.csv,66.004,66.007,66.009,0.016,66
20230414_144946_DOE4-1_no39.csv,66.004,66.007,66.009,0.016,66
20230414_150208_DOE4-1_no40.csv,66.001,66.004,66.006,0.016,66
20230414_150338_DOE4-1_no41.csv,66.001,66.004,66.005,0.016,66
20230414_150643_DOE4-1_no43.csv,66.001,66.004,66.006,0.016,66
20230414_150814_DOE4-1_no44.csv,66.003,66.004,66.005,0.016,66
20230414_150948_DOE4-1_no45.csv,66.004,66.005,66.008,0.016,66
20230414_151112_DOE4-1_no46.csv,66.003,66.006,66.008,0.016,66
20230414_151301_DOE4-1_no47.csv,66.004,66.006,66.008,0.016,66
20230414_151433_DOE4-1_no48.csv,66.006,66.008,66.009,0.016,66
20230414_151615_DOE4-1_no49.csv,66.005,66.007,66.009,0.016,66
20230414_151743_DOE4-1_no50.csv,66.006,66.008,66.01,0.016,66
20230424_092713_DOE4-2_no01.csv,62.015,62.017,62.019,0.016,62
20230424_093140_DOE4-2_no02.csv,61.995,61.997,62,-0.002,62
20230424_093320_DOE4-2_no03.csv,61.995,61.997,61.998,-0.002,62
