filepaths,name,No,5mm,30mm,target_size,setting,date,time
dataset/DOE_6/切割訊號/DOE6-1/all/O6302-20240625110106524.pickle,O6302-20240625110106524,1,26.034,26.036,26.0,DOE6-1,0625,1101
dataset/DOE_6/切割訊號/DOE6-1/all/O6302-20240625111003778.pickle,O6302-20240625111003778,2,25.994,25.995,26.0,DOE6-1,0625,1110
dataset/DOE_6/切割訊號/DOE6-1/all/O6302-20240625111224291.pickle,O6302-20240625111224291,3,25.995,25.995,26.0,DOE6-1,0625,1112
dataset/DOE_6/切割訊號/DOE6-1/all/O6302-20240625111325742.pickle,O6302-20240625111325742,4,25.994,25.995,26.0,DOE6-1,0625,1113
dataset/DOE_6/切割訊號/DOE6-1/all/O6302-20240625111440461.pickle,O6302-20240625111440461,5,25.994,25.995,26.0,DOE6-1,0625,1114
dataset/DOE_6/切割訊號/DOE6-1/all/O6302-20240625111557975.pickle,O6302-20240625111557975,6,25.994,25.994,26.0,DOE6-1,0625,1115
dataset/DOE_6/切割訊號/DOE6-1/all/O6302-20240625111721707.pickle,O6302-20240625111721707,7,25.994,25.996,26.0,DOE6-1,0625,1117
dataset/DOE_6/切割訊號/DOE6-1/all/O6302-20240625111847656.pickle,O6302-20240625111847656,8,25.994,25.995,26.0,DOE6-1,0625,1118
dataset/DOE_6/切割訊號/DOE6-1/all/O6302-20240625111950011.pickle,O6302-20240625111950011,9,25.994,25.994,26.0,DOE6-1,0625,1119
dataset/DOE_6/切割訊號/DOE6-1/all/O6302-20240625112054006.pickle,O6302-20240625112054006,10,25.995,25.996,26.0,DOE6-1,0625,1120
dataset/DOE_6/切割訊號/DOE6-1/all/O6302-20240625112556380.pickle,O6302-20240625112556380,11,25.995,25.996,26.0,DOE6-1,0625,1125
dataset/DOE_6/切割訊號/DOE6-1/all/O6302-20240625112718010.pickle,O6302-20240625112718010,12,25.994,25.996,26.0,DOE6-1,0625,1127
dataset/DOE_6/切割訊號/DOE6-1/all/O6302-20240625112850385.pickle,O6302-20240625112850385,13,25.994,25.995,26.0,DOE6-1,0625,1128
dataset/DOE_6/切割訊號/DOE6-1/all/O6302-20240625113005035.pickle,O6302-20240625113005035,14,25.995,25.996,26.0,DOE6-1,0625,1130
dataset/DOE_6/切割訊號/DOE6-1/all/O6302-20240625113116139.pickle,O6302-20240625113116139,15,25.994,25.996,26.0,DOE6-1,0625,1131
dataset/DOE_6/切割訊號/DOE6-1/all/O6302-20240625113227609.pickle,O6302-20240625113227609,16,25.995,25.997,26.0,DOE6-1,0625,1132
dataset/DOE_6/切割訊號/DOE6-1/all/O6302-20240625113343955.pickle,O6302-20240625113343955,17,25.996,25.997,26.0,DOE6-1,0625,1133
dataset/DOE_6/切割訊號/DOE6-1/all/O6302-20240625113513653.pickle,O6302-20240625113513653,18,25.996,25.997,26.0,DOE6-1,0625,1135
dataset/DOE_6/切割訊號/DOE6-1/all/O6302-20240625113643472.pickle,O6302-20240625113643472,19,25.996,25.997,26.0,DOE6-1,0625,1136
dataset/DOE_6/切割訊號/DOE6-1/all/O6302-20240625113756650.pickle,O6302-20240625113756650,20,25.996,25.997,26.0,DOE6-1,0625,1137
dataset/DOE_6/切割訊號/DOE6-1/all/O6302-20240625134045066.pickle,O6302-20240625134045066,21,26.007,26.009,26.0,DOE6-1,0625,1340
dataset/DOE_6/切割訊號/DOE6-1/all/O6302-20240625134320607.pickle,O6302-20240625134320607,22,26.007,26.009,26.0,DOE6-1,0625,1343
dataset/DOE_6/切割訊號/DOE6-1/all/O6302-20240625134546949.pickle,O6302-20240625134546949,24,26.004,26.005,26.0,DOE6-1,0625,1345
dataset/DOE_6/切割訊號/DOE6-1/all/O6302-20240625134655799.pickle,O6302-20240625134655799,25,26.003,26.004,26.0,DOE6-1,0625,1346
dataset/DOE_6/切割訊號/DOE6-1/all/O6302-20240625134811726.pickle,O6302-20240625134811726,26,26.001,26.002,26.0,DOE6-1,0625,1348
dataset/DOE_6/切割訊號/DOE6-1/all/O6302-20240625134922593.pickle,O6302-20240625134922593,27,25.999,26.001,26.0,DOE6-1,0625,1349
dataset/DOE_6/切割訊號/DOE6-1/all/O6302-20240625135040075.pickle,O6302-20240625135040075,28,26.0,26.001,26.0,DOE6-1,0625,1350
dataset/DOE_6/切割訊號/DOE6-1/all/O6302-20240625135201741.pickle,O6302-20240625135201741,29,26.0,26.002,26.0,DOE6-1,0625,1352
dataset/DOE_6/切割訊號/DOE6-1/all/O6302-20240625135319920.pickle,O6302-20240625135319920,30,26.0,26.002,26.0,DOE6-1,0625,1353
dataset/DOE_6/切割訊號/DOE6-1/all/O6302-20240625135914282.pickle,O6302-20240625135914282,31,25.998,26.001,26.0,DOE6-1,0625,1359
dataset/DOE_6/切割訊號/DOE6-1/all/O6302-20240625140029708.pickle,O6302-20240625140029708,32,25.999,26.0,26.0,DOE6-1,0625,1400
dataset/DOE_6/切割訊號/DOE6-1/all/O6302-20240625140153055.pickle,O6302-20240625140153055,33,25.999,26.001,26.0,DOE6-1,0625,1401
dataset/DOE_6/切割訊號/DOE6-1/all/O6302-20240625140321585.pickle,O6302-20240625140321585,34,25.998,26.001,26.0,DOE6-1,0625,1403
dataset/DOE_6/切割訊號/DOE6-1/all/O6302-20240625140447979.pickle,O6302-20240625140447979,35,25.999,26.001,26.0,DOE6-1,0625,1404
dataset/DOE_6/切割訊號/DOE6-1/all/O6302-20240625140620613.pickle,O6302-20240625140620613,36,25.996,25.999,26.0,DOE6-1,0625,1406
dataset/DOE_6/切割訊號/DOE6-1/all/O6302-20240625140733100.pickle,O6302-20240625140733100,37,25.995,25.998,26.0,DOE6-1,0625,1407
dataset/DOE_6/切割訊號/DOE6-1/all/O6302-20240625140857255.pickle,O6302-20240625140857255,38,25.995,25.997,26.0,DOE6-1,0625,1408
dataset/DOE_6/切割訊號/DOE6-1/all/O6302-20240625141016154.pickle,O6302-20240625141016154,39,25.995,25.997,26.0,DOE6-1,0625,1410
dataset/DOE_6/切割訊號/DOE6-1/all/O6302-20240625141136368.pickle,O6302-20240625141136368,40,25.994,25.996,26.0,DOE6-1,0625,1411
dataset/DOE_6/切割訊號/DOE6-2/all/O6302-20240704095154153.pickle,O6302-20240704095154153,1,27.996,27.998,28.0,DOE6-2,0704,0951
dataset/DOE_6/切割訊號/DOE6-2/all/O6302-20240704095943400.pickle,O6302-20240704095943400,2,27.995,27.998,28.0,DOE6-2,0704,0959
dataset/DOE_6/切割訊號/DOE6-2/all/O6302-20240704100145917.pickle,O6302-20240704100145917,3,27.997,28.0,28.0,DOE6-2,0704,1001
dataset/DOE_6/切割訊號/DOE6-2/all/O6302-20240704100356927.pickle,O6302-20240704100356927,4,27.997,27.999,28.0,DOE6-2,0704,1003
dataset/DOE_6/切割訊號/DOE6-2/all/O6302-20240704100509017.pickle,O6302-20240704100509017,5,27.998,27.999,28.0,DOE6-2,0704,1005
dataset/DOE_6/切割訊號/DOE6-2/all/O6302-20240704100631145.pickle,O6302-20240704100631145,6,27.996,27.997,28.0,DOE6-2,0704,1006
dataset/DOE_6/切割訊號/DOE6-2/all/O6302-20240704100750363.pickle,O6302-20240704100750363,7,27.996,27.999,28.0,DOE6-2,0704,1007
dataset/DOE_6/切割訊號/DOE6-2/all/O6302-20240704100858093.pickle,O6302-20240704100858093,8,27.996,27.998,28.0,DOE6-2,0704,1008
dataset/DOE_6/切割訊號/DOE6-2/all/O6302-20240704101036731.pickle,O6302-20240704101036731,9,27.998,28.0,28.0,DOE6-2,0704,1010
dataset/DOE_6/切割訊號/DOE6-2/all/O6302-20240704102058899.pickle,O6302-20240704102058899,11,27.996,27.998,28.0,DOE6-2,0704,1020
dataset/DOE_6/切割訊號/DOE6-2/all/O6302-20240704102223373.pickle,O6302-20240704102223373,12,27.997,27.998,28.0,DOE6-2,0704,1022
dataset/DOE_6/切割訊號/DOE6-2/all/O6302-20240704102333200.pickle,O6302-20240704102333200,13,27.998,28.0,28.0,DOE6-2,0704,1023
dataset/DOE_6/切割訊號/DOE6-2/all/O6302-20240704102448955.pickle,O6302-20240704102448955,14,27.997,27.998,28.0,DOE6-2,0704,1024
dataset/DOE_6/切割訊號/DOE6-2/all/O6302-20240704102703920.pickle,O6302-20240704102703920,15,27.995,27.997,28.0,DOE6-2,0704,1027
dataset/DOE_6/切割訊號/DOE6-2/all/O6302-20240704102823054.pickle,O6302-20240704102823054,16,27.996,27.998,28.0,DOE6-2,0704,1028
dataset/DOE_6/切割訊號/DOE6-2/all/O6302-20240704102929957.pickle,O6302-20240704102929957,17,27.996,27.998,28.0,DOE6-2,0704,1029
dataset/DOE_6/切割訊號/DOE6-2/all/O6302-20240704103229611.pickle,O6302-20240704103229611,18,27.996,27.997,28.0,DOE6-2,0704,1032
dataset/DOE_6/切割訊號/DOE6-2/all/O6302-20240704103757955.pickle,O6302-20240704103757955,19,27.996,27.997,28.0,DOE6-2,0704,1037
dataset/DOE_6/切割訊號/DOE6-2/all/O6302-20240704103915090.pickle,O6302-20240704103915090,20,27.995,27.996,28.0,DOE6-2,0704,1039
dataset/DOE_6/切割訊號/DOE6-2/all/O6302-20240704104159239.pickle,O6302-20240704104159239,21,27.995,27.996,28.0,DOE6-2,0704,1041
dataset/DOE_6/切割訊號/DOE6-2/all/O6302-20240704104308101.pickle,O6302-20240704104308101,22,27.994,27.996,28.0,DOE6-2,0704,1043
