name,No,5mm,30mm,target_size
O6302-20240625110106524,1.0,26.034,26.036,26.0
O6302-20240625111003778,2.0,25.994,25.995,26.0
O6302-20240625111224291,3.0,25.995,25.995,26.0
O6302-20240625111325742,4.0,25.994,25.995,26.0
O6302-20240625111440461,5.0,25.994,25.995,26.0
O6302-20240625111557975,6.0,25.994,25.994,26.0
O6302-20240625111721707,7.0,25.994,25.996,26.0
O6302-20240625111847656,8.0,25.994,25.995,26.0
O6302-20240625111950011,9.0,25.994,25.994,26.0
O6302-20240625112054006,10.0,25.995,25.996,26.0
O6302-20240625112556380,11.0,25.995,25.996,26.0
O6302-20240625112718010,12.0,25.994,25.996,26.0
O6302-20240625112850385,13.0,25.994,25.995,26.0
O6302-20240625113005035,14.0,25.995,25.996,26.0
O6302-20240625113116139,15.0,25.994,25.996,26.0
O6302-20240625113227609,16.0,25.995,25.997,26.0
O6302-20240625113343955,17.0,25.996,25.997,26.0
O6302-20240625113513653,18.0,25.996,25.997,26.0
O6302-20240625113643472,19.0,25.996,25.997,26.0
O6302-20240625113756650,20.0,25.996,25.997,26.0
O6302-20240625134045066,21.0,26.007,26.009,26.0
O6302-20240625134320607,22.0,26.007,26.009,26.0
O6302-20240625134440895,23.0,26.005,26.006,26.0
O6302-20240625134546949,24.0,26.004,26.005,26.0
O6302-20240625134655799,25.0,26.003,26.004,26.0
O6302-20240625134811726,26.0,26.001,26.002,26.0
O6302-20240625134922593,27.0,25.999,26.001,26.0
O6302-20240625135040075,28.0,26.0,26.001,26.0
O6302-20240625135201741,29.0,26.0,26.002,26.0
O6302-20240625135319920,30.0,26.0,26.002,26.0
O6302-20240625135914282,31.0,25.998,26.001,26.0
O6302-20240625140029708,32.0,25.999,26.0,26.0
O6302-20240625140153055,33.0,25.999,26.001,26.0
O6302-20240625140321585,34.0,25.998,26.001,26.0
O6302-20240625140447979,35.0,25.999,26.001,26.0
O6302-20240625140620613,36.0,25.996,25.999,26.0
O6302-20240625140733100,37.0,25.995,25.998,26.0
O6302-20240625140857255,38.0,25.995,25.997,26.0
O6302-20240625141016154,39.0,25.995,25.997,26.0
O6302-20240625141136368,40.0,25.994,25.996,26.0
O6302-20240704095154153,1.0,27.996,27.998,28.0
O6302-20240704095943400,2.0,27.995,27.998,28.0
O6302-20240704100145917,3.0,27.997,28.0,28.0
O6302-20240704100356927,4.0,27.997,27.999,28.0
O6302-20240704100509017,5.0,27.998,27.999,28.0
O6302-20240704100631145,6.0,27.996,27.997,28.0
O6302-20240704100750363,7.0,27.996,27.999,28.0
O6302-20240704100858093,8.0,27.996,27.998,28.0
O6302-20240704101036731,9.0,27.998,28.0,28.0
O6302-20240704101443046,10.0,27.997,27.998,28.0
O6302-20240704102058899,11.0,27.996,27.998,28.0
